-DOCSTART- -X- -X- O
премьера I-NP NOUN O
, B-VP PUNCT O
Путин I-VP PROPN O
сделал I-VP VERB O
самый B-NP ADJ O
оптимальный I-NP ADJ O
выбор I-NP NOUN O
из I-NP ADP O
всех I-NP DET O
возможных I-NP ADJ O
. B-VP PUNCT O

Итак B-VP ADV O
, I-VP PUNCT O
давайте I-VP VERB O
знакомиться I-VP VERB O
с B-NP ADP O
будущим I-NP ADJ O
новым I-NP ADJ O
главой I-NP NOUN O
российского I-NP ADJ O
правительства I-NP NOUN O
. B-VP PUNCT O

Вот B-NP PART O
те I-NP DET O
неформальные I-NP ADJ O
детали I-NP NOUN O
его I-NP PRON O
биографии I-NP NOUN O
, B-VP PUNCT O
которые I-VP PRON O
мне I-VP PRON O
удалось I-VP VERB O
узнать I-VP VERB O
. B-NP PUNCT O

Михаил B-NP NOUN O
Мишустин I-NP PROPN O
родился B-VP VERB O
в B-NP ADP O
1966 I-NP NUM O
году I-NP NOUN O
в B-VP ADP O
Лобне I-VP PROPN O
в B-NP ADP O
совсем I-NP ADV O
незнатной I-NP ADJ O
семье I-NP NOUN O
. B-VP PUNCT O

Его B-NP PRON O
отец I-NP NOUN O
работал B-VP VERB O
в B-NP ADP O
аэропорту I-NP NOUN O
Шереметьево B-VP PROPN O
, B-NP PUNCT O
а I-NP CCONJ O
мать I-NP NOUN O
-- I-NP PROPN O
в I-NP ADP O
медицинском I-NP ADJ O
учреждении I-NP NOUN O
. B-VP PUNCT O

Будущий B-NP ADJ O
премьер I-NP NOUN O
поступил B-VP VERB O
на B-NP ADP O
вечернее I-NP ADJ O
отделение I-NP NOUN O
Московского I-NP ADJ O
станкостроительного I-NP ADJ O
института I-NP NOUN O
-LRB- I-NP NOUN O
Станкина I-NP PROPN O
-RRB- I-NP PROPN O
и I-NP CCONJ O
параллельно I-NP ADV O
работал B-VP VERB O
на B-NP ADP O
военной I-NP ADJ O
кафедре I-NP NOUN O
. B-VP PUNCT O

Но B-VP CCONJ O
долго I-VP ADV O
на B-NP ADP O
вечернем I-NP ADJ O
отделении I-NP NOUN O
он B-VP PRON O
не I-VP PART O
задержался I-VP VERB O
. I-VP PUNCT O

Заняв B-VP VERB O
первое B-NP ADJ O
место I-NP NOUN O
во I-NP ADP O
внутриинститутской I-NP ADJ O
олимпиаде I-NP NOUN O
, B-VP PUNCT O
он I-VP PRON O
с B-NP ADP O
триумфом I-NP NOUN O
был B-VP AUX O
переведен I-VP VERB O
на B-NP ADP O
дневную I-NP ADJ O
форму I-NP NOUN O
обучения I-NP NOUN O
. B-VP PUNCT O

Говорят B-VP VERB O
, B-NP PUNCT O
что I-NP SCONJ O
некоторыми I-NP DET O
методичками I-NP NOUN O
, B-VP PUNCT O
которые I-VP PRON O
Мишустин I-VP PROPN O
написал I-VP VERB O
в B-NP ADP O
свою I-NP DET O
бытность I-NP NOUN O
студентом I-NP NOUN O
, B-VP PUNCT O
в I-VP ADP O
Станкине I-VP PROPN O
пользуются I-VP VERB O
до I-VP ADP O
сих I-VP DET O
пор B-NP NOUN O
. B-VP PUNCT O

Окончив B-VP VERB O
в B-NP ADP O
1989 I-NP NUM O
году I-NP NOUN O
институт I-NP NOUN O
, B-VP PUNCT O
Мишустин I-VP PROPN O
вскоре I-VP ADV O
с B-NP ADP O
головой I-NP NOUN O
ушел B-VP VERB O
в B-NP ADP O
частный I-NP ADJ O
бизнес I-NP NOUN O
. B-VP PUNCT O

Будущий B-NP ADJ O
премьер I-NP NOUN O
РФ I-NP PROPN O
создал B-VP VERB O
Московский B-NP ADJ O
международный I-NP ADJ O
компьютерный I-NP ADJ O
клуб I-NP NOUN O
, B-VP PUNCT O
который I-VP PRON O
, I-VP PUNCT O
как I-VP SCONJ O
следует I-VP VERB O
из B-NP ADP O
его I-NP PRON O
названия I-NP NOUN O
, B-VP PUNCT O
успешно I-VP ADV O
насыщал I-VP VERB O
компьютерной B-NP ADJ O
техникой I-NP NOUN O
зарождавшийся B-VP VERB O
рыночный B-NP ADJ O
сектор I-NP NOUN O
нашей I-NP DET O
экономики I-NP NOUN O
. B-VP PUNCT O

Уже B-VP ADV O
в B-NP ADP O
это I-NP DET O
время I-NP NOUN O
себя B-VP PRON O
ярко I-VP ADV O
проявил I-VP VERB O
рабочий B-NP ADJ O
стиль I-NP NOUN O
Мишустина I-NP PROPN O
-- I-NP PROPN O
стиль I-NP NOUN O
, B-VP PUNCT O
который I-VP PRON O
состоит I-VP VERB O
из B-NP ADP O
трех I-NP NUM O
компонентов I-NP NOUN O
-- B-VP PROPN O
задумано I-VP VERB O
-- B-NP PROPN O
до I-NP ADP O
мельчайших I-NP ADJ O
деталей I-NP NOUN O
продумано B-VP VERB O
-- B-NP PROPN O
в I-NP ADP O
точном I-NP ADJ O
соответствии I-NP NOUN O
с I-NP ADP O
планами I-NP NOUN O
воплощено B-VP VERB O
в B-NP ADP O
жизнь I-NP NOUN O
. B-VP PUNCT O

На B-NP ADP O
сайте I-NP NOUN O
Международного I-NP ADJ O
компьютерного I-NP ADJ O
клуба I-NP NOUN O
можно B-VP ADV O
найти I-VP VERB O
, I-VP PUNCT O
например I-VP ADV O
, B-NP PUNCT O
следующий I-NP ADJ O
рассказ I-NP NOUN O
Михаила I-NP PROPN O
Мишустина B-VP PROPN O
о I-VP ADP O
том I-VP PRON O
, I-VP PUNCT O
как I-VP ADV O
он I-VP PRON O
вместе I-VP ADV O
с I-VP ADP O
будущим I-VP ADJ O
известным I-VP ADJ O
бизнеменом B-NP NOUN O
Левоном B-VP PROPN O
Амдиляном I-VP PROPN O
создал I-VP VERB O
Международный B-NP ADJ O
компьютерный I-NP ADJ O
форум I-NP NOUN O
-LRB- I-NP NOUN O
МКФ I-NP PROPN O
-RRB- B-VP VERB O
-- B-NP ADJ O
площадку I-NP NOUN O
для I-NP ADP O
передачи I-NP NOUN O
опыта I-NP NOUN O
от I-NP ADP O
западных I-NP ADJ O
программистов I-NP NOUN O
российским I-NP ADJ O
: B-VP PUNCT O
`` B-NP NOUN O
Мы B-VP PRON O
везли I-VP VERB O
с I-VP ADP O
Левоном I-VP PROPN O
его B-NP PRON O
дочь I-NP NOUN O
в I-NP ADP O
детский I-NP ADJ O
сад I-NP NOUN O
. B-VP PUNCT O

Шел B-VP VERB O
сильный B-NP ADJ O
дождь I-NP NOUN O
, B-VP PUNCT O
капли B-NP NOUN O
вовсю B-VP ADV O
лупили I-VP VERB O
по B-NP ADP O
лобовому I-NP ADJ O
стеклу I-NP NOUN O
. B-VP PUNCT O

Тогда B-VP ADV O
Левон I-VP PROPN O
в B-NP ADP O
первый I-NP ADJ O
раз I-NP NOUN O
и B-VP CCONJ O
заговорил I-VP VERB O
о I-VP ADP O
МКФ I-VP PROPN O
. I-VP PUNCT O

Он B-VP PRON O
вернулся I-VP VERB O
с B-NP ADP O
международной I-NP ADJ O
компьютерной I-NP ADJ O
конференции I-NP NOUN O
, I-NP PUNCT O
на I-NP ADP O
которой I-NP PRON O
многие I-NP ADJ O
представители I-NP NOUN O
фирм-лидеров I-NP NOUN O
компьютерного I-NP ADJ O
рынка I-NP NOUN O
высказали B-VP VERB O
желание B-NP NOUN O
приехать B-VP VERB O
в I-VP ADP O
СССР I-VP PROPN O
и I-VP CCONJ O
выступить I-VP VERB O
, I-VP PUNCT O
при B-NP ADP O
условии I-NP NOUN O
, I-NP PUNCT O
если B-VP SCONJ O
бы I-VP PART O
кто-нибудь B-NP NOUN O
взялся B-VP VERB O
за B-NP ADP O
организацию I-NP NOUN O
такого I-NP DET O
международного I-NP ADJ O
мероприятия I-NP NOUN O
. B-VP PUNCT O

`` B-NP NOUN O
Ну B-VP PART O
что I-VP SCONJ O
-- I-VP PROPN O
спросил I-VP VERB O
Левон I-VP PROPN O
-- I-VP PROPN O
сделаем I-VP VERB O
? I-VP PUNCT O
'' B-NP NOUN O

В B-NP ADP O
течении I-NP NOUN O
двух I-NP NUM O
часов I-NP NOUN O
мы B-VP PRON O
обсудили I-VP VERB O
и I-VP CCONJ O
разработали I-VP VERB O
концепцию B-NP NOUN O
Форума I-NP PROPN O
и B-VP CCONJ O
назначили I-VP VERB O
дату B-NP NOUN O
: B-VP PUNCT O
17 I-VP NUM O
июня B-NP NOUN O
1990 I-NP NUM O
года I-NP NOUN O
. B-VP PUNCT O

Сейчас B-VP ADV O
мне I-VP PRON O
уже I-VP ADV O
с B-NP ADP O
трудом I-NP NOUN O
верится B-VP VERB O
, I-VP PUNCT O
что I-VP PRON O
такое I-VP DET O
было I-VP AUX O
возможно I-VP ADJ O
'' I-VP PROPN O
